customer_id,total_revenue,avg_order_value,purchase_frequency,revenue_rank,cumulative_revenue,segment
1480,100,100.0,2,1,3600,At-Risk
1457,100,100.0,30,1,3600,Loyal
1848,100,100.0,49,1,3600,Loyal
519,100,100.0,16,1,3600,Loyal
3029,100,100.0,7,1,3600,Regular
770,100,100.0,8,1,3600,Regular
205,100,100.0,35,1,3600,Loyal
2808,100,100.0,10,1,3600,Regular
1301,100,100.0,47,1,3600,Loyal
582,100,100.0,12,1,3600,Loyal
3726,100,100.0,2,1,3600,At-Risk
96,100,100.0,48,1,3600,Loyal
2803,100,100.0,42,1,3600,Loyal
2072,100,100.0,37,1,3600,Loyal
2286,100,100.0,38,1,3600,Loyal
43,100,100.0,15,1,3600,Loyal
862,100,100.0,35,1,3600,Loyal
1406,100,100.0,39,1,3600,Loyal
2972,100,100.0,9,1,3600,Regular
456,100,100.0,50,1,3600,Loyal
2959,100,100.0,28,1,3600,Loyal
244,100,100.0,4,1,3600,At-Risk
1422,100,100.0,24,1,3600,Loyal
194,100,100.0,29,1,3600,Loyal
1209,100,100.0,8,1,3600,Regular
3266,100,100.0,28,1,3600,Loyal
2431,100,100.0,42,1,3600,Loyal
249,100,100.0,33,1,3600,Loyal
1592,100,100.0,24,1,3600,Loyal
3322,100,100.0,3,1,3600,At-Risk
2843,100,100.0,48,1,3600,Loyal
2995,100,100.0,14,1,3600,Loyal
616,100,100.0,23,1,3600,Loyal
2215,100,100.0,20,1,3600,Loyal
3838,100,100.0,33,1,3600,Loyal
1413,100,100.0,43,1,3600,Loyal
458,99,99.0,48,37,8748,Loyal
2463,99,99.0,31,37,8748,Loyal
3626,99,99.0,32,37,8748,Loyal
1871,99,99.0,27,37,8748,Loyal
1235,99,99.0,2,37,8748,At-Risk
3083,99,99.0,20,37,8748,Loyal
3865,99,99.0,1,37,8748,At-Risk
2975,99,99.0,34,37,8748,Loyal
2726,99,99.0,4,37,8748,At-Risk
3244,99,99.0,11,37,8748,Loyal
1588,99,99.0,33,37,8748,Loyal
1942,99,99.0,46,37,8748,Loyal
2612,99,99.0,4,37,8748,At-Risk
1206,99,99.0,38,37,8748,Loyal
2183,99,99.0,26,37,8748,Loyal
2600,99,99.0,48,37,8748,Loyal
3340,99,99.0,35,37,8748,Loyal
500,99,99.0,24,37,8748,Loyal
3007,99,99.0,17,37,8748,Loyal
92,99,99.0,18,37,8748,Loyal
886,99,99.0,49,37,8748,Loyal
3527,99,99.0,1,37,8748,At-Risk
1286,99,99.0,45,37,8748,Loyal
3277,99,99.0,41,37,8748,Loyal
993,99,99.0,50,37,8748,Loyal
1248,99,99.0,18,37,8748,Loyal
564,99,99.0,16,37,8748,Loyal
960,99,99.0,12,37,8748,Loyal
766,99,99.0,13,37,8748,Loyal
3273,99,99.0,34,37,8748,Loyal
757,99,99.0,24,37,8748,Loyal
2272,99,99.0,49,37,8748,Loyal
1810,99,99.0,6,37,8748,Regular
957,99,99.0,42,37,8748,Loyal
293,99,99.0,24,37,8748,Loyal
2952,99,99.0,14,37,8748,Loyal
3477,99,99.0,11,37,8748,Loyal
3820,99,99.0,45,37,8748,Loyal
414,99,99.0,48,37,8748,Loyal
3747,99,99.0,49,37,8748,Loyal
3347,99,99.0,30,37,8748,Loyal
2065,99,99.0,5,37,8748,Regular
1567,99,99.0,21,37,8748,Loyal
909,99,99.0,9,37,8748,Regular
905,99,99.0,46,37,8748,Loyal
2010,99,99.0,26,37,8748,Loyal
571,99,99.0,20,37,8748,Loyal
3372,99,99.0,28,37,8748,Loyal
3194,99,99.0,35,37,8748,Loyal
3554,99,99.0,32,37,8748,Loyal
3148,99,99.0,21,37,8748,Loyal
3782,99,99.0,40,37,8748,Loyal
2142,98,98.0,32,89,13844,Loyal
3226,98,98.0,31,89,13844,Loyal
1133,98,98.0,25,89,13844,Loyal
155,98,98.0,21,89,13844,Loyal
2663,98,98.0,44,89,13844,Loyal
101,98,98.0,31,89,13844,Loyal
2583,98,98.0,4,89,13844,At-Risk
2758,98,98.0,11,89,13844,Loyal
332,98,98.0,46,89,13844,Loyal
3258,98,98.0,39,89,13844,Loyal
2531,98,98.0,28,89,13844,Loyal
663,98,98.0,39,89,13844,Loyal
2774,98,98.0,45,89,13844,Loyal
2607,98,98.0,46,89,13844,Loyal
3073,98,98.0,46,89,13844,Loyal
2059,98,98.0,17,89,13844,Loyal
3534,98,98.0,30,89,13844,Loyal
544,98,98.0,11,89,13844,Loyal
3655,98,98.0,10,89,13844,Regular
1841,98,98.0,46,89,13844,Loyal
1497,98,98.0,9,89,13844,Regular
2569,98,98.0,29,89,13844,Loyal
2810,98,98.0,27,89,13844,Loyal
1470,98,98.0,31,89,13844,Loyal
1271,98,98.0,20,89,13844,Loyal
2759,98,98.0,8,89,13844,Regular
1735,98,98.0,16,89,13844,Loyal
301,98,98.0,24,89,13844,Loyal
1279,98,98.0,31,89,13844,Loyal
981,98,98.0,39,89,13844,Loyal
2480,98,98.0,26,89,13844,Loyal
1738,98,98.0,50,89,13844,Loyal
2172,98,98.0,9,89,13844,Regular
3044,98,98.0,17,89,13844,Loyal
1099,98,98.0,27,89,13844,Loyal
1740,98,98.0,23,89,13844,Loyal
2749,98,98.0,16,89,13844,Loyal
